,image_id,question,question_id
0,458752,What is this photo taken looking through?,458752000
1,458752,What position is this man playing?,458752001
2,458752,What color is the players shirt?,458752002
3,458752,Is this man a professional baseball player?,458752003
4,262146,What color is the snow?,262146000
5,262146,What is the person doing?,262146001
6,262146,What color is the persons headwear?,262146002
7,524291,What is in the person's hand?,524291000
8,524291,Is the dog waiting?,524291001
9,524291,Is the dog looking at a tennis ball or frisbee?,524291002
10,393221,Is the sky blue?,393221000
11,393221,Is there snow on the mountains?,393221001
12,393221,What is the white streak?,393221002
13,393223,Is the window open?,393223000
14,393223,What color is the toothbrush?,393223001
15,393223,What is the child doing?,393223002
16,393223,Is she brushing?,393223003
17,393224,Is the man smiling?,393224000
18,393224,What is the business man doing in the picture?,393224001
19,393224,Does his tie pair well with his suit?,393224002
20,393224,Does the man look happy?,393224003
21,393224,Is this photo in color?,393224004
22,393224,Is the man wearing a plain tie?,393224005
23,524297,"Judging from the dress, was this taken in a Latin American country?",524297000
24,524297,What colors are shown in this picture?,524297001
25,524297,Are the men on the sidewalk?,524297002
26,524297,Was this photo taken recently?,524297003
27,393227,Does the guy have a tattoo?,393227000
28,393227,What is this man riding on?,393227001
29,393227,How many tattoos can be seen on this man's body?,393227002
30,393227,What color is his hat?,393227003
31,393227,Is the man's visor providing his face enough protection?,393227004
32,131084,What color is the jacket?,131084000
33,131084,Is the man riding on a dirt path?,131084001
34,131084,What is the man riding on?,131084002
35,131074,What is on the pillow?,131074000
36,131074,How many pieces of furniture which are used for sleeping are featured in this picture?,131074001
37,131074,Are the walls done in a summery color?,131074002
38,131074,Is the curtain patterned?,131074003
39,131074,What is sitting on the bench?,131074004
40,131074,Are the windows the same size?,131074005
41,393230,What is this person doing?,393230000
42,393230,How many people are in this image?,393230001
43,393230,Is there a shadow of a tree in the foreground?,393230002
44,393230,What is the man doing?,393230003
45,393230,What color is the sky?,393230004
46,393230,What is the person wearing?,393230005
47,393230,Did someone forget his luggage in the snow?,393230006
48,393230,What color is his coat?,393230007
49,393230,Is it daytime?,393230008
50,393230,What is she holding?,393230009
51,393230,Is the person wearing a hat?,393230010
52,131087,What is the dog riding on?,131087000
53,131087,Is the dog wearing a collar?,131087001
54,131087,Is it a clear day?,131087002
55,131087,Is there a body of water here?,131087003
56,131087,What is in the water?,131087004
57,131075,"What does the green light, on the TV, indicate?",131075000
58,131075,Is the light on?,131075001
59,131075,What room of the house is this?,131075002
60,131075,What is the size of the TV?,131075003
61,131075,Is the room messy?,131075004
62,131075,Is this a TV screen?,131075005
63,131075,How big is the TV?,131075006
64,131075,What companion object to the TV can be seen in the bottom right of the picture?,131075007
65,131075,What is the small computer on the left called?,131075008
66,131075,What is above the TV?,131075009
